Year;Station;First_half;Last_half;count
2006;Игарка;11;0;11
2006;Туруханск;6;3;9
2006;Верхнеимбатск;7;6;13
2006;Бор;6;2;8
2006;Ворогово;8;5;13
2006;Ярцево;9;3;12
2007;Игарка;8;0;8
2007;Туруханск;5;2;7
2007;Бор;11;14;25
2007;Ворогово;13;11;24
2007;Ярцево;12;14;26
2008;Игарка;13;1;14
2008;Туруханск;10;0;10
2008;Верхнеимбатск;15;6;21
2008;Бор;12;7;19
2008;Ворогово;16;4;20
2008;Ярцево;14;7;21
2009;Игарка;10;1;11
2009;Туруханск;5;0;5
2009;Верхнеимбатск;1;7;8
2009;Бор;1;7;8
2009;Ворогово;9;12;21
2009;Ярцево;9;7;16
2010;Игарка;2;1;3
2010;Туруханск;2;8;10
2010;Верхнеимбатск;4;8;12
2010;Бор;3;9;12
2010;Ворогово;7;9;16
2010;Ярцево;7;14;21
2011;Игарка;10;2;12
2011;Туруханск;6;4;10
2011;Верхнеимбатск;11;13;24
2011;Бор;6;8;14
2011;Ворогово;9;10;19
2011;Ярцево;4;11;15
2012;Игарка;10;0;10
2012;Туруханск;4;0;4
2012;Верхнеимбатск;10;12;22
2012;Бор;12;6;18
2012;Ворогово;11;19;30
2012;Ярцево;8;20;28
2013;Игарка;10;6;16
2013;Туруханск;7;2;9
2013;Верхнеимбатск;8;3;11
2013;Бор;3;0;3
2013;Ворогово;8;2;10
2013;Ярцево;3;1;4
2014;Ворогово;4;0;4
2015;Туруханск;1;2;3
2018;Туруханск;1;0;1
2019;Ворогово;1;6;7
2019;Ярцево;1;4;5
2022;Игарка;1;8;9
2023;Туруханск;1;8;9
2024;Туруханск;2;0;2
2024;Ворогово;1;0;1
2024;Ярцево;1;0;1
2005;Верхнеимбатск;0;4;4
2005;Бор;0;3;3
2005;Ворогово;0;2;2
2005;Ярцево;0;8;8
2007;Верхнеимбатск;0;12;12
2014;Туруханск;0;6;6
2014;Верхнеимбатск;0;7;7
2014;Бор;0;1;1
2014;Ярцево;0;7;7
2015;Игарка;0;4;4
2015;Верхнеимбатск;0;3;3
2015;Бор;0;2;2
2015;Ярцево;0;2;2
2016;Туруханск;0;2;2
2016;Верхнеимбатск;0;4;4
2016;Бор;0;3;3
2016;Ярцево;0;3;3
2017;Верхнеимбатск;0;7;7
2017;Ярцево;0;2;2
2018;Верхнеимбатск;0;5;5
2018;Бор;0;3;3
2018;Ворогово;0;4;4
2018;Ярцево;0;3;3
2019;Игарка;0;2;2
2019;Туруханск;0;3;3
2019;Верхнеимбатск;0;3;3
2019;Бор;0;2;2
2020;Игарка;0;7;7
2020;Туруханск;0;5;5
2020;Верхнеимбатск;0;2;2
2020;Бор;0;2;2
2020;Ворогово;0;4;4
2020;Ярцево;0;4;4
2021;Игарка;0;5;5
2021;Туруханск;0;4;4
2021;Верхнеимбатск;0;3;3
2021;Бор;0;3;3
2021;Ворогово;0;4;4
2021;Ярцево;0;5;5
2022;Туруханск;0;2;2
2022;Верхнеимбатск;0;3;3
2022;Бор;0;3;3
2022;Ворогово;0;7;7
2022;Ярцево;0;3;3
2023;Верхнеимбатск;0;3;3
2023;Бор;0;3;3
2023;Ворогово;0;3;3
2023;Ярцево;0;1;1
1981;Бахта;6;0;6
1982;Бахта;1;0;1
1984;Бахта;4;6;10
1986;Бахта;2;4;6
1993;Бахта;1;0;1
1961;Бахта;0;2;2
1963;Бахта;0;2;2
1964;Бахта;0;3;3
1965;Бахта;0;7;7
1967;Бахта;0;1;1
1969;Бахта;0;1;1
1970;Бахта;0;7;7
1973;Бахта;0;3;3
1979;Бахта;0;2;2
1980;Бахта;0;5;5
1985;Бахта;0;1;1
1987;Бахта;0;11;11
1988;Бахта;0;4;4
1989;Бахта;0;5;5
1990;Бахта;0;3;3
1991;Бахта;0;15;15
1992;Бахта;0;5;5
1994;Бахта;0;6;6
1995;Бахта;0;11;11
1997;Бахта;0;5;5
1998;Бахта;0;2;2
1999;Бахта;0;2;2
2000;Бахта;0;2;2
2001;Бахта;0;2;2
2002;Бахта;0;4;4
2003;Бахта;0;1;1
2004;Бахта;0;3;3
2006;Бахта;6;10;16
2007;Бахта;9;18;27
2008;Бахта;16;4;20
2009;Бахта;1;14;15
2010;Бахта;3;14;17
2011;Бахта;11;12;23
2012;Бахта;8;10;18
2013;Бахта;3;1;4
2015;Бахта;1;3;4
2018;Бахта;1;2;3
2019;Бахта;2;1;3
2005;Бахта;0;11;11
2016;Бахта;0;1;1
2020;Бахта;0;1;1
2021;Бахта;0;1;1
2023;Бахта;0;2;2
