Station,Parametr,Month,RR,P,b
turukhansk,t_anomaly,1,0.06,0.0968,0.0212
turukhansk,t_anomaly,2,0.26,2.4e-4,0.0647
turukhansk,t_anomaly,3,0.7,0,0.119
turukhansk,t_anomaly,4,0.49,0,0.0991
turukhansk,t_anomaly,5,0.89,0,0.066
turukhansk,t_anomaly,6,0.65,0,0.0946
turukhansk,t_anomaly,7,0.11,0.02394,0.0107
turukhansk,t_anomaly,8,0.01,0.72048,-0.00219
turukhansk,t_anomaly,9,0.17,0.00344,0.0196
turukhansk,t_anomaly,10,0.82,0,0.0872
turukhansk,t_anomaly,11,0.11,0.02307,-0.0261
turukhansk,t_anomaly,12,0.11,0.02502,0.0289
