iter	Passed	Remaining
0	137	27427
1	141	13999
2	144	9514
3	148	7280
4	151	5922
5	154	5010
6	158	4357
7	161	3883
8	165	3504
9	168	3201
10	171	2953
11	175	2746
12	179	2584
13	183	2437
14	186	2304
15	190	2187
16	194	2093
17	197	2000
18	201	1916
19	204	1839
20	207	1772
21	211	1710
22	214	1652
23	217	1598
24	221	1550
25	225	1506
26	228	1464
27	231	1423
28	235	1385
29	238	1351
30	241	1318
31	245	1287
32	248	1257
33	251	1229
34	255	1206
35	259	1182
36	263	1159
37	266	1136
38	269	1114
39	274	1098
40	277	1078
41	281	1058
42	284	1039
43	288	1023
44	291	1005
45	295	989
46	298	973
47	302	958
48	306	944
49	310	930
50	313	916
51	317	902
52	320	889
53	324	876
54	327	863
55	331	851
56	334	840
57	338	828
58	341	817
59	345	805
