iter	RMSE
0	3.969763101
1	3.929933499
2	3.899262397
3	3.856924447
4	3.822575492
5	3.782531425
6	3.752689243
7	3.72381615
8	3.692987822
9	3.661433122
10	3.63539772
11	3.603809149
12	3.572457819
13	3.54247856
14	3.521648153
15	3.492083395
16	3.458240284
17	3.429530705
18	3.407081943
19	3.372075912
20	3.349419146
21	3.326350825
22	3.302531477
23	3.280811328
24	3.252929074
25	3.227427958
26	3.193245968
27	3.167569951
28	3.146159275
29	3.118652188
30	3.099423876
31	3.078693367
32	3.055085353
33	3.02818332
34	3.002695989
35	2.9817448
36	2.963180437
37	2.938075561
38	2.919989564
39	2.903624116
40	2.881825208
41	2.860132589
42	2.83375574
43	2.815390838
44	2.793408394
45	2.768040907
46	2.750342131
47	2.730643807
48	2.711317365
49	2.692093665
50	2.680137991
51	2.656579047
52	2.632828671
53	2.613474174
54	2.595259011
55	2.580905216
56	2.561719906
57	2.540326433
58	2.512070875
59	2.49270644
60	2.478392269
61	2.461426889
62	2.443561047
63	2.421161077
64	2.404339662
65	2.382006519
66	2.369518196
67	2.355649745
68	2.339116698
69	2.323458969
70	2.306977944
71	2.29398293
72	2.278493018
73	2.26246432
74	2.250812579
75	2.23302424
76	2.219751212
77	2.203855592
78	2.188667425
79	2.174138583
80	2.165611198
81	2.155809161
82	2.142120512
83	2.131964091
84	2.121199825
85	2.110713889
86	2.094981341
87	2.081632906
88	2.067567179
89	2.058010198
90	2.043889088
91	2.033789577
92	2.018449432
93	2.003360821
94	1.990396689
95	1.978751015
96	1.969313248
97	1.958995546
98	1.950413369
99	1.934801278
100	1.922448197
101	1.911918915
102	1.900570844
103	1.889089525
104	1.877560991
105	1.8681576
106	1.858290346
107	1.848680679
108	1.838545754
109	1.825987182
110	1.815906458
111	1.804582633
112	1.792037296
113	1.784234011
114	1.774490045
115	1.763330619
116	1.754470324
117	1.745093174
118	1.741859468
119	1.741084933
120	1.73141332
121	1.724896542
122	1.71960932
123	1.712652807
124	1.696685483
125	1.689411658
126	1.677961849
127	1.670609801
128	1.659266664
129	1.650943844
130	1.642562298
131	1.633341681
132	1.622580978
133	1.617010876
134	1.607414943
135	1.596340215
136	1.587467593
137	1.581726912
138	1.572689232
139	1.561330983
140	1.550979437
141	1.542795695
142	1.533282695
143	1.52488223
144	1.51739703
145	1.507405669
146	1.500214253
147	1.490431117
148	1.475528198
149	1.471165857
150	1.466934954
151	1.460678251
152	1.45487931
153	1.44755939
154	1.43883474
155	1.431441041
156	1.419169917
157	1.409934224
158	1.402324299
159	1.398150696
160	1.393018761
161	1.386334544
162	1.37754141
163	1.371739911
164	1.366179827
165	1.358741934
166	1.352545289
167	1.345368382
168	1.339474488
169	1.334916042
170	1.328196262
171	1.325711166
172	1.320683663
173	1.316745708
174	1.30905148
175	1.302185554
176	1.300738648
177	1.297612409
178	1.287671266
179	1.282523854
180	1.276619026
181	1.270158868
182	1.264692203
183	1.257136916
184	1.251434134
185	1.246285747
186	1.240177442
187	1.235627711
188	1.23027631
189	1.226605407
190	1.223219881
191	1.219933637
192	1.213817155
193	1.211604366
194	1.209385825
195	1.203652903
196	1.202398055
197	1.198188685
198	1.19264
199	1.183837098
200	1.183243088
201	1.178249055
202	1.173319533
203	1.171170286
204	1.168560755
205	1.166022863
206	1.162816987
207	1.158569301
208	1.149673756
209	1.142064639
210	1.135639725
211	1.129959323
212	1.123657332
213	1.121253984
214	1.118997384
215	1.117626744
216	1.115583373
217	1.109700776
218	1.104956914
219	1.102694021
220	1.099965547
221	1.096627015
222	1.090389067
223	1.085979865
224	1.084688977
225	1.083414702
226	1.080491295
227	1.073663755
228	1.071855253
229	1.068491387
230	1.062985746
231	1.058749953
232	1.055720446
233	1.051494254
234	1.049792922
235	1.046847148
236	1.04294161
237	1.038387462
238	1.033671077
239	1.030051312
240	1.026169775
241	1.024378181
242	1.023800874
243	1.021408441
244	1.019456605
245	1.017545659
246	1.013421991
247	1.010317154
248	1.005963305
249	1.001678847
250	0.9974803854
251	0.9930404894
252	0.9888308099
253	0.9867806855
254	0.9851113749
255	0.9831111463
256	0.9789508409
257	0.975543547
258	0.9724647425
259	0.9691202259
260	0.9671699453
261	0.9652372095
262	0.95954028
263	0.9566552247
264	0.9549473862
265	0.9511854835
266	0.9489636478
267	0.9474095028
268	0.9437808851
269	0.9378219173
270	0.9318188633
271	0.92833502
272	0.925145398
273	0.9234523682
274	0.9220240868
275	0.9205421873
276	0.9172055309
277	0.9154306253
278	0.9139216924
279	0.9080738263
280	0.9054941242
281	0.9028093645
282	0.9012727524
283	0.8962608242
284	0.8933842084
285	0.8903529784
286	0.8886883144
287	0.8870464107
288	0.8823694514
289	0.8773546836
290	0.8757351967
291	0.8709574948
292	0.8681214722
293	0.8634317393
294	0.8607568151
295	0.8591885084
296	0.8576414793
297	0.8563108268
298	0.8537034436
299	0.8509542327
300	0.8484100257
301	0.846851354
302	0.8448023509
303	0.8435114174
304	0.8419915769
305	0.8395669318
306	0.8369755604
307	0.8315097882
308	0.8300360179
309	0.8285749911
310	0.8273005994
311	0.8249715425
312	0.8237205244
313	0.8229817562
314	0.8205194794
315	0.8155150016
316	0.8110997152
317	0.8098875464
318	0.80869307
319	0.8072886285
320	0.8050946946
321	0.802779034
322	0.8006700251
323	0.799294163
324	0.7944481232
325	0.7931392535
326	0.7920030717
327	0.7872111003
328	0.7861033512
329	0.7850037709
330	0.7836627308
331	0.7822189838
332	0.7813173814
333	0.7800481037
334	0.7780528466
335	0.7733847081
336	0.7722067267
337	0.7676136483
338	0.7667507627
339	0.7653415612
340	0.7608321273
341	0.7594382438
342	0.7573580332
343	0.7563510246
344	0.7551999671
345	0.750805081
346	0.7470610119
347	0.745917362
348	0.7447874643
349	0.740441825
350	0.7392270731
351	0.734994946
352	0.7337910581
353	0.7316075999
354	0.727474393
355	0.7261556201
356	0.7226773494
357	0.7216406841
358	0.7175982019
359	0.7164214429
360	0.7144003411
361	0.7104483341
362	0.7092813634
363	0.708130736
364	0.7068761079
365	0.7025797131
366	0.7002050776
367	0.6962981312
368	0.6945213235
369	0.6929795867
370	0.6888003056
371	0.6870822158
372	0.685412324
373	0.6813075833
374	0.6796588742
375	0.6759298394
376	0.6744393147
377	0.673251432
378	0.6692509543
379	0.6687425928
380	0.6671726212
381	0.6657424107
382	0.6621394944
383	0.661174994
384	0.660680272
385	0.6571448506
386	0.6560867866
387	0.6549555364
388	0.6544803347
389	0.6508155912
390	0.6498740429
391	0.6489945269
392	0.6453840895
393	0.6444761116
394	0.6435806535
395	0.6429310405
396	0.6395311135
397	0.6386244511
398	0.6379926117
399	0.6369798165
400	0.6334522237
401	0.6325898835
402	0.6317393822
403	0.6309005489
404	0.6274210752
405	0.6265933519
406	0.6257769482
407	0.6249066433
408	0.621657485
409	0.6182880217
410	0.6168726228
411	0.6160081951
412	0.612750003
413	0.6117834413
414	0.6091308063
415	0.6083687419
416	0.6076170274
417	0.6042632727
418	0.603724771
419	0.6006414053
420	0.5993139421
421	0.598797395
422	0.595745782
423	0.5927941369
424	0.5920860833
425	0.5891263525
426	0.5866683931
427	0.5837860399
428	0.5814126096
429	0.578677301
430	0.5776957072
431	0.5750615914
432	0.5740234638
433	0.5728054474
434	0.5700642278
435	0.5688769062
436	0.5668081046
437	0.5648472778
438	0.5635223614
439	0.5610422739
440	0.559007766
441	0.5578577191
442	0.5558528653
443	0.554020607
444	0.5521472236
445	0.5508652212
446	0.5485009226
447	0.5473849771
448	0.5454399118
449	0.5436916887
450	0.5413996252
451	0.5384478831
452	0.536178715
453	0.5339553829
454	0.5329430379
455	0.5304905214
456	0.5294147099
457	0.5277062976
458	0.526652793
459	0.5248143565
460	0.5231527937
461	0.5210515396
462	0.5199841957
463	0.5173478385
464	0.5157519128
465	0.5147729407
466	0.5125793748
467	0.5115411688
468	0.5099984374
469	0.5084991067
470	0.5061388689
