"Year";"Month";"Day";"Tavg";"Pr";"Sn";"Date";"Sn_quality"
1961;1;1;-31,8;0,4;77;"1961-01-01";0
1961;1;2;-25,6;0,7;77;"1961-01-02";0
1961;1;3;-30,9;0,8;76;"1961-01-03";0
1961;1;4;-20,7;0,7;76;"1961-01-04";0
1961;1;5;-34,9;0;72;"1961-01-05";0
1961;1;6;-45,5;0;72;"1961-01-06";0
1961;1;7;-49,3;0;72;"1961-01-07";0
1961;1;8;-44;0;72;"1961-01-08";0
1961;1;9;-30;1,4;74;"1961-01-09";0
1961;1;10;-21,4;1,7;78;"1961-01-10";0
1961;1;11;-18,2;0,9;79;"1961-01-11";0
1961;1;12;-25,4;0,2;79;"1961-01-12";0
1961;1;13;-38,9;0;79;"1961-01-13";0
1961;1;14;-27,5;2,4;80;"1961-01-14";0
1961;1;15;-14,1;2;80;"1961-01-15";0
1961;1;16;-12,5;1,4;81;"1961-01-16";0
1961;1;17;-16,1;1,7;85;"1961-01-17";0
1961;1;18;-36,2;0;84;"1961-01-18";0
1961;1;19;-36,4;0;84;"1961-01-19";0
1961;1;20;-25;0,7;83;"1961-01-20";0
1961;1;21;-14,9;1,9;88;"1961-01-21";0
1961;1;22;-15,3;0,4;89;"1961-01-22";0
1961;1;23;-31,2;0;87;"1961-01-23";0
1961;1;24;-34,2;0;87;"1961-01-24";0
1961;1;25;-24,3;3,1;86;"1961-01-25";0
1961;1;26;-27,3;1;88;"1961-01-26";0
1961;1;27;-28,8;0,2;88;"1961-01-27";0
1961;1;28;-17,6;0,2;86;"1961-01-28";0
1961;1;29;-9,9;0;86;"1961-01-29";0
1961;1;30;-10,3;0,1;86;"1961-01-30";0
1961;1;31;-22,3;0;86;"1961-01-31";0
1961;2;1;-28,8;0;85;"1961-02-01";0
1961;2;2;-14,3;0,7;88;"1961-02-02";0
1961;2;3;-11,2;1;92;"1961-02-03";0
1961;2;4;-13,2;1,5;95;"1961-02-04";0
1961;2;5;-10,9;0,5;95;"1961-02-05";0
1961;2;6;-21,6;0,6;97;"1961-02-06";0
1961;2;7;-36,2;0;97;"1961-02-07";0
1961;2;8;-21,7;2,6;95;"1961-02-08";0
1961;2;9;-29,9;0;95;"1961-02-09";0
1961;2;10;-24,6;1,6;96;"1961-02-10";0
1961;2;11;-20,1;0,6;96;"1961-02-11";0
1961;2;12;-27,4;0;97;"1961-02-12";0
1961;2;13;-17,5;0,5;97;"1961-02-13";0
1961;2;14;-17,2;1;95;"1961-02-14";0
1961;2;15;-14,7;1,2;97;"1961-02-15";0
1961;2;16;-18,9;1;96;"1961-02-16";0
1961;2;17;-25,9;0,3;97;"1961-02-17";0
1961;2;18;-27,3;0,3;97;"1961-02-18";0
1961;2;19;-17,3;2;98;"1961-02-19";0
1961;2;20;-14,6;1,9;99;"1961-02-20";0
1961;2;21;-11,5;0,7;99;"1961-02-21";0
1961;2;22;-9,9;0,7;99;"1961-02-22";0
1961;2;23;-12,3;0,4;99;"1961-02-23";0
1961;2;24;-22,6;0;99;"1961-02-24";0
1961;2;25;-22,6;0,3;98;"1961-02-25";0
1961;2;26;-26,4;0,3;98;"1961-02-26";0
1961;2;27;-34;0;98;"1961-02-27";0
1961;2;28;-21,2;0;98;"1961-02-28";0
1961;3;1;-16,2;0;97;"1961-03-01";0
1961;3;2;-17;0,6;98;"1961-03-02";0
1961;3;3;-25,8;0;98;"1961-03-03";0
1961;3;4;-15;1,4;98;"1961-03-04";0
1961;3;5;-11,1;1,4;100;"1961-03-05";0
1961;3;6;-8,1;1,5;103;"1961-03-06";0
1961;3;7;-7,1;0;103;"1961-03-07";0
1961;3;8;-9,7;0;103;"1961-03-08";0
1961;3;9;-12,1;0;100;"1961-03-09";0
1961;3;10;-12,1;0;100;"1961-03-10";0
1961;3;11;-13,1;0;100;"1961-03-11";0
1961;3;12;-11,9;0;98;"1961-03-12";0
1961;3;13;-8;0;98;"1961-03-13";0
1961;3;14;-5,6;0;98;"1961-03-14";0
1961;3;15;-3,8;0,2;97;"1961-03-15";0
1961;3;16;-4,5;0;96;"1961-03-16";0
1961;3;17;-7,3;0;95;"1961-03-17";0
1961;3;18;-2,6;0;94;"1961-03-18";0
1961;3;19;-4,8;0;94;"1961-03-19";0
1961;3;20;-5,4;0;93;"1961-03-20";0
1961;3;21;-5,3;0;92;"1961-03-21";0
1961;3;22;-6;0;92;"1961-03-22";0
1961;3;23;-2,4;1,7;94;"1961-03-23";0
1961;3;24;0;1,2;96;"1961-03-24";0
1961;3;25;1,8;0;92;"1961-03-25";0
1961;3;26;1,2;0;89;"1961-03-26";0
1961;3;27;1,9;0;87;"1961-03-27";0
1961;3;28;0,6;0,4;85;"1961-03-28";0
1961;3;29;0;0;84;"1961-03-29";0
1961;3;30;3,2;0;82;"1961-03-30";0
1961;3;31;3;0;81;"1961-03-31";0
1961;4;1;1,2;0;79;"1961-04-01";0
1961;4;2;-3,1;0;78;"1961-04-02";0
1961;4;3;1,1;0;77;"1961-04-03";0
1961;4;4;2,5;0;77;"1961-04-04";0
1961;4;5;1;1;74;"1961-04-05";0
1961;4;6;0;0,1;72;"1961-04-06";0
1961;4;7;2,5;0;72;"1961-04-07";0
1961;4;8;-2,6;0,5;70;"1961-04-08";0
1961;4;9;-4,5;0,1;68;"1961-04-09";0
1961;4;10;-6,3;0;67;"1961-04-10";0
1961;4;11;-5,6;0;67;"1961-04-11";0
1961;4;12;1,6;0;66;"1961-04-12";0
1961;4;13;1,7;2,3;66;"1961-04-13";0
1961;4;14;0,4;0;66;"1961-04-14";0
1961;4;15;-1,6;0;65;"1961-04-15";0
1961;4;16;0;6,9;73;"1961-04-16";0
1961;4;17;0,6;0,9;70;"1961-04-17";0
1961;4;18;-7,2;0,3;71;"1961-04-18";0
1961;4;19;-7,1;2,6;71;"1961-04-19";0
1961;4;20;-1,1;1,6;76;"1961-04-20";0
1961;4;21;-0,5;0;70;"1961-04-21";0
1961;4;22;3,7;0;67;"1961-04-22";0
1961;4;23;-1,1;0;65;"1961-04-23";0
1961;4;24;-4,7;0;63;"1961-04-24";0
1961;4;25;-2,7;0;63;"1961-04-25";0
1961;4;26;0,6;0;61;"1961-04-26";0
1961;4;27;-0,3;1,8;61;"1961-04-27";0
1961;4;28;-1,7;0;61;"1961-04-28";0
1961;4;29;-3,7;4,2;64;"1961-04-29";0
1961;4;30;1,2;0;62;"1961-04-30";0
1961;5;1;4,4;0;61;"1961-05-01";0
1961;5;2;3,9;2,9;52;"1961-05-02";0
1961;5;3;0,6;1,2;52;"1961-05-03";0
1961;5;4;-0,2;0;52;"1961-05-04";0
1961;5;5;0,4;0,1;49;"1961-05-05";0
1961;5;6;2,2;3,5;46;"1961-05-06";0
1961;5;7;-2,7;0,8;46;"1961-05-07";0
1961;5;8;-5,3;0;46;"1961-05-08";0
1961;5;9;-4,5;0;44;"1961-05-09";0
1961;5;10;-4,8;0;44;"1961-05-10";0
1961;5;11;-1,8;0;42;"1961-05-11";0
1961;5;12;1,2;0;42;"1961-05-12";0
1961;5;13;2,6;0;39;"1961-05-13";0
1961;5;14;3,7;0;34;"1961-05-14";0
1961;5;15;5,4;0;28;"1961-05-15";0
1961;5;16;7;0;17;"1961-05-16";0
1961;5;17;8,6;0;12;"1961-05-17";0
1961;5;18;8;0;10;"1961-05-18";1
1961;5;19;8,4;9,5;4;"1961-05-19";1
1961;10;4;-1,8;1,6;3;"1961-10-04";0
1961;10;5;-1,9;2,6;4;"1961-10-05";0
1961;10;6;-5;0,3;6;"1961-10-06";0
1961;10;7;-9,6;0;6;"1961-10-07";0
1961;10;8;-9;0,1;6;"1961-10-08";0
1961;10;9;-6,1;0;6;"1961-10-09";0
1961;10;10;-1,9;0,5;7;"1961-10-10";0
1961;10;11;-5,1;0,9;7;"1961-10-11";0
1961;10;12;-7,6;0,7;10;"1961-10-12";0
1961;10;13;-8,4;0,5;12;"1961-10-13";0
1961;10;14;-11;0,5;12;"1961-10-14";0
1961;10;15;-13,1;0;12;"1961-10-15";0
1961;10;16;-14,7;0;12;"1961-10-16";0
1961;10;17;-17,2;0;12;"1961-10-17";0
1961;10;18;-15,4;0;12;"1961-10-18";0
1961;10;19;-11,9;0;12;"1961-10-19";0
1961;10;20;-6,9;0;12;"1961-10-20";0
1961;10;21;-5,4;0;12;"1961-10-21";0
1961;10;22;-6,5;0;12;"1961-10-22";0
1961;10;23;-1,8;0,2;12;"1961-10-23";0
1961;10;24;-3;0,8;13;"1961-10-24";0
1961;10;25;-4,5;4,3;15;"1961-10-25";0
1961;10;26;-8,4;0,3;21;"1961-10-26";0
1961;10;27;-13,7;0,1;21;"1961-10-27";0
1961;10;28;-14,2;0,2;21;"1961-10-28";0
1961;10;29;-16,9;0;19;"1961-10-29";0
1961;10;30;-8,2;0;17;"1961-10-30";0
1961;10;31;-5,3;0,5;16;"1961-10-31";0
1961;11;1;-3,6;0,5;18;"1961-11-01";0
1961;11;2;-1,2;3,4;22;"1961-11-02";0
